wall hang [sound:wall.mp3] [sound:hang.mp3], colgar en la pared
overwhelmed [sound:overwhelmed.mp3], abrumado/a
overcome [sound:overcome.mp3], superar
pulled [sound:pulled.mp3], tirado/a
drowning [sound:drowning.mp3], ahogándose
sprawling [sound:sprawling.mp3], extendiéndose
lurking [sound:lurking.mp3], acechando
glaringly [sound:glaringly.mp3], evidentemente
seek it [sound:seek.mp3] [], buscarlo
yearnings [sound:yearnings.mp3], anhelos
naive [sound:naive.mp3], ingenuo/a
weak [sound:weak.mp3], débil
weary [sound:weary.mp3], cansado/a
thee [sound:thee.mp3], tú (antiguo, forma arcaica de "you")
enshrined [sound:enshrined.mp3], venerado/a
position of lack [sound:position.mp3] [sound:of.mp3] [sound:lack.mp3], posición de carencia
cherish [sound:cherish.mp3], apreciar / valorar
shield [sound:shield.mp3], escudo
have a clue [sound:have.mp3] [sound:a.mp3] [sound:clue.mp3], tener una pista / tener idea
bleak [sound:bleak.mp3], sombrío/a / desolado/a
frowns upon [sound:frowns.mp3] [sound:upon.mp3], frunce el ceño ante / desaprueba

